experiment_order,experiment_id,experiment_name,or_fallback_k,semantic_weight,lexical_and_weight,lexical_or_weight,gold_view,k,n_questions,evidence_hit_at_k,evidence_precision_at_k,evidence_recall_at_k,mrr_at_k,map_at_k,claim_coverage_at_k,document_hit_at_k,page_hit_at_k
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,expanded,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.4838709677419355,0.41935483870967744
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.4838709677419355,0.41935483870967744
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,1,31,0.41935483870967744,0.41935483870967744,0.2210889468953985,0.41935483870967744,0.2210889468953985,0.28873062421449514,0.45161290322580644,0.41935483870967744
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,1,31,0.4838709677419355,0.4838709677419355,0.23721797915346304,0.4838709677419355,0.23721797915346304,0.32905320485965645,0.4838709677419355,0.4838709677419355
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,1,31,0.4838709677419355,0.4838709677419355,0.22915346302443076,0.4838709677419355,0.22915346302443076,0.32152632313922636,0.5161290322580645,0.4838709677419355
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,1,31,0.4838709677419355,0.4838709677419355,0.2506588393685168,0.4838709677419355,0.2506588393685168,0.32152632313922636,0.5161290322580645,0.4838709677419355
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,1,31,0.41935483870967744,0.41935483870967744,0.24374639697220343,0.41935483870967744,0.24374639697220343,0.3009984639016897,0.6774193548387096,0.45161290322580644
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,expanded,3,31,0.5483870967741935,0.2150537634408602,0.2685031814064072,0.46774193548387094,0.24359278714117424,0.3642438206954336,0.6774193548387096,0.5483870967741935
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,3,31,0.5483870967741935,0.2150537634408602,0.2685031814064072,0.46774193548387094,0.24359278714117424,0.3642438206954336,0.6774193548387096,0.5483870967741935
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,3,31,0.5483870967741935,0.2150537634408602,0.27011608463221365,0.46774193548387094,0.24413042154977638,0.3674696271470465,0.6451612903225806,0.5483870967741935
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,3,31,0.5806451612903226,0.23655913978494622,0.3046782966137805,0.5215053763440861,0.2683879740331353,0.40852534562211984,0.6451612903225806,0.5806451612903226
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,3,31,0.5483870967741935,0.22580645161290322,0.28854926435571593,0.510752688172043,0.2601314456153166,0.3762672811059908,0.7096774193548387,0.5483870967741935
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,3,31,0.5806451612903226,0.2150537634408602,0.31389488647553165,0.5268817204301075,0.27894864991639184,0.41585672392124,0.7741935483870968,0.6129032258064516
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,3,31,0.6129032258064516,0.22580645161290322,0.32951188596349884,0.510752688172043,0.28304491207717014,0.4161499790532049,0.8387096774193549,0.6451612903225806
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,expanded,5,31,0.5806451612903226,0.14193548387096774,0.30255336061787674,0.47419354838709676,0.2511196688616043,0.39650188521156265,0.8387096774193549,0.6129032258064516
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,5,31,0.5806451612903226,0.14193548387096774,0.27835981223078,0.47580645161290325,0.2466841849906366,0.383598659405111,0.7741935483870968,0.5806451612903226
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,5,31,0.5483870967741935,0.13548387096774195,0.2719081993275541,0.46774193548387094,0.24520569036698067,0.3674696271470465,0.7419354838709677,0.5483870967741935
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,5,31,0.6451612903225806,0.16129032258064516,0.3853234579041031,0.5344086021505376,0.28774281274281277,0.4784178187403994,0.8387096774193549,0.6451612903225806
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,5,31,0.6129032258064516,0.16774193548387098,0.3853234579041031,0.5268817204301075,0.29185187572284343,0.46632104454685097,0.9354838709677419,0.6451612903225806
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,5,31,0.6451612903225806,0.17419354838709677,0.40452468678275133,0.543010752688172,0.3106306775661614,0.4817169389750035,0.9354838709677419,0.6774193548387096
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,5,31,0.6129032258064516,0.16129032258064516,0.3533214097730227,0.510752688172043,0.29525689364399044,0.4311793045664013,0.9354838709677419,0.6451612903225806
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,expanded,10,31,0.6451612903225806,0.0903225806451613,0.3492763508892541,0.4831541218637993,0.26265320700804573,0.44938556067588326,0.9032258064516129,0.6774193548387096
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,expanded,10,31,0.6451612903225806,0.0903225806451613,0.3636132684519781,0.48342293906810035,0.26377327869263356,0.4569124423963134,0.9354838709677419,0.6774193548387096
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,expanded,10,31,0.6774193548387096,0.0967741935483871,0.4163014404949889,0.4848950332821301,0.271054811377392,0.5066436251920122,0.9354838709677419,0.7096774193548387
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,expanded,10,31,0.6451612903225806,0.1,0.41271721110430787,0.5344086021505376,0.2963751366401136,0.49374039938556064,0.9354838709677419,0.6774193548387096
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,expanded,10,31,0.7419354838709677,0.11290322580645161,0.44214047601144374,0.5432667690732207,0.3035719955074794,0.5481182795698925,0.967741935483871,0.7741935483870968
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,expanded,10,31,0.7096774193548387,0.10645161290322581,0.4242193290580387,0.5506272401433692,0.3155456103036748,0.531989247311828,0.967741935483871,0.7419354838709677
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,expanded,10,31,0.7096774193548387,0.1032258064516129,0.41961103412716316,0.5247695852534562,0.3095391167971813,0.531989247311828,0.967741935483871,0.7419354838709677
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,human_only,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.1111111111111111
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,1,18,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.16666666666666666,0.1111111111111111
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.16666666666666666,0.1111111111111111
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.16666666666666666,0.1111111111111111
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,1,18,0.1111111111111111,0.1111111111111111,0.046296296296296294,0.1111111111111111,0.046296296296296294,0.07777777777777778,0.3888888888888889,0.16666666666666666
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,human_only,3,18,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.3888888888888889,0.16666666666666666
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,3,18,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.3888888888888889,0.16666666666666666
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.14814814814814814,0.08024691358024691,0.15185185185185185,0.3888888888888889,0.2222222222222222
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.15740740740740738,0.08333333333333333,0.15185185185185185,0.3888888888888889,0.2222222222222222
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,3,18,0.16666666666666666,0.05555555555555555,0.07407407407407407,0.12962962962962965,0.05555555555555555,0.1148148148148148,0.5,0.16666666666666666
5,or20_conservative_w1_1_01,OR muy conservador,20,1.0,1.0,0.1,human_only,3,18,0.16666666666666666,0.05555555555555555,0.07407407407407407,0.1388888888888889,0.06018518518518518,0.0962962962962963,0.5555555555555556,0.2222222222222222
6,or30_ablation_w1_1_0,Ablación sin OR en hybrid,30,1.0,1.0,0.0,human_only,3,18,0.2222222222222222,0.07407407407407407,0.12962962962962962,0.15740740740740738,0.07870370370370369,0.17037037037037037,0.6111111111111112,0.2777777777777778
0,baseline_or100_w1_1_1,Baseline OR=100,100,1.0,1.0,1.0,human_only,5,18,0.16666666666666666,0.03333333333333334,0.1111111111111111,0.12962962962962962,0.07407407407407407,0.12962962962962965,0.5555555555555556,0.2222222222222222
1,baseline_or50_w1_1_1,Baseline OR=50,50,1.0,1.0,1.0,human_only,5,18,0.2222222222222222,0.044444444444444446,0.12962962962962962,0.1435185185185185,0.0787037037037037,0.15185185185185185,0.5,0.2222222222222222
2,baseline_or30_w1_1_1,Baseline OR=30,30,1.0,1.0,1.0,human_only,5,18,0.2222222222222222,0.044444444444444446,0.12962962962962962,0.14814814814814814,0.08024691358024691,0.15185185185185185,0.5555555555555556,0.2222222222222222
3,or30_moderate_w1_1_05,OR moderado,30,1.0,1.0,0.5,human_only,5,18,0.2777777777777778,0.06666666666666668,0.21296296296296294,0.1685185185185185,0.10555555555555556,0.24444444444444446,0.6666666666666666,0.2777777777777778
4,or30_recommended_w1_1_02,Recomendado inicial,30,1.0,1.0,0.2,human_only,5,18,0.2777777777777778,0.06666666666666668,0.17592592592592593,0.15462962962962962,0.08703703703703704,0.2074074074074074,0.7222222222222222,0.3333333333333333
